profile,seed,damage_pct,score,stars,steps,ticks,terminated,truncated
hard,300617,0.20240274599542335,0.20240274599542335,0,58,575,True,False
medium,300618,0.33216510903426794,0.33216510903426794,0,66,659,True,False
hard,300619,0.36195652173913045,0.36195652173913045,0,64,636,True,False
medium,300620,0.5402647975077881,1.540264797507788,1,71,706,True,False
hard,300621,0.3070366132723112,0.3070366132723112,0,60,597,True,False
medium,300622,1.0,4.0,3,78,776,True,False
hard,300623,0.2469679633867277,0.2469679633867277,0,66,652,True,False
medium,300624,0.6096573208722741,1.609657320872274,1,68,677,True,False
hard,300625,0.26098398169336384,0.26098398169336384,0,89,887,True,False
medium,300626,0.5019470404984424,1.5019470404984423,1,73,726,True,False
hard,300627,0.21893592677345539,0.21893592677345539,0,67,665,True,False
medium,300628,0.18045171339563862,0.18045171339563862,0,58,574,True,False
hard,300629,0.20600686498855836,0.20600686498855836,0,66,655,True,False
medium,300630,0.6911993769470405,1.6911993769470404,1,90,900,False,True
hard,300631,0.242162471395881,0.242162471395881,0,70,700,True,False
medium,300632,0.40218068535825546,0.40218068535825546,0,84,840,True,False
hard,300633,0.2402745995423341,0.2402745995423341,0,71,704,True,False
medium,300634,0.7009345794392523,2.7009345794392523,2,74,740,True,False
hard,300635,0.29307780320366134,0.29307780320366134,0,64,632,True,False
medium,300636,0.4774922118380062,0.4774922118380062,0,63,621,True,False
hard,300637,0.3639588100686499,0.3639588100686499,0,63,625,True,False
medium,300638,0.7963395638629284,2.7963395638629285,2,90,900,False,True
hard,300639,0.1784324942791762,0.1784324942791762,0,65,650,True,False
medium,300640,0.5588006230529595,1.5588006230529596,1,67,667,True,False
hard,300641,0.15961098398169338,0.15961098398169338,0,75,749,True,False
medium,300642,0.2635514018691589,0.2635514018691589,0,59,584,True,False
hard,300643,0.24056064073226543,0.24056064073226543,0,61,603,True,False
medium,300644,0.8678348909657321,2.867834890965732,2,69,687,True,False
hard,300645,0.26653318077803206,0.26653318077803206,0,63,627,True,False
medium,300646,0.3231308411214953,0.3231308411214953,0,69,682,True,False
hard,300647,0.29736842105263156,0.29736842105263156,0,65,644,True,False
medium,300648,1.0,4.0,3,74,732,True,False
hard,300649,0.2782036613272311,0.2782036613272311,0,61,603,True,False
medium,300650,0.7728971962616823,2.7728971962616824,2,86,852,True,False
hard,300651,0.23729977116704806,0.23729977116704806,0,59,584,True,False
medium,300652,0.39182242990654204,0.39182242990654204,0,90,900,False,True
hard,300653,0.19931350114416477,0.19931350114416477,0,62,614,True,False
medium,300654,0.42827102803738315,0.42827102803738315,0,78,773,True,False
hard,300655,0.1740274599542334,0.1740274599542334,0,84,836,True,False
medium,300656,0.4086448598130841,0.4086448598130841,0,65,646,True,False
hard,300657,0.20520594965675057,0.20520594965675057,0,61,607,True,False
medium,300658,0.8796728971962616,2.8796728971962615,2,90,900,False,True
hard,300659,0.3414187643020595,0.3414187643020595,0,61,602,True,False
medium,300660,0.5461838006230529,1.5461838006230528,1,69,689,True,False
hard,300661,0.17751716247139587,0.17751716247139587,0,58,580,True,False
medium,300662,0.6238317757009346,2.6238317757009346,2,69,685,True,False
hard,300663,0.3193935926773455,0.3193935926773455,0,60,592,True,False
medium,300664,0.8628504672897196,2.8628504672897197,2,65,649,True,False
hard,300665,0.0790045766590389,0.0790045766590389,0,63,627,True,False
medium,300666,0.41238317757009346,0.41238317757009346,0,70,696,True,False
hard,300667,0.3085812356979405,0.3085812356979405,0,75,750,True,False
medium,300668,0.5947819314641745,1.5947819314641745,1,65,649,True,False
hard,300669,0.42219679633867274,0.42219679633867274,0,82,811,True,False
medium,300670,0.5970404984423676,2.5970404984423676,2,69,689,True,False
hard,300671,0.08729977116704805,0.08729977116704805,0,58,580,True,False
